timestamp,last_price,bid_price,ask_price,bid_volume,ask_volume,volume_24h,high_24h,low_24h,change_24h,price_change_24h,bid_ask_spread,change_24h_normalized,spread_percentage,trend
2025-05-14 20:44:46,103722.86,103733.99,103734.0,6.14888,0.01395,2053837027.4146273,104976.25,102811.32,0.115,119.34,-0.00999999999476131,0.00115,-9.641076224432405e-06,bullish
2025-05-14 20:44:48,103742.9,103730.69,103730.7,0.00735,4.95574,2053904477.6965277,104976.25,102811.32,0.125,129.06,-0.00999999999476131,0.00125,-9.6392138592244e-06,bullish
2025-05-14 20:44:50,103710.12,103695.92,103695.93,0.00118,4.9477,2054132463.4365757,104976.25,102811.32,0.093,96.28,-0.00999999999476131,0.0009299999999999999,-9.642260557370207e-06,bullish
2025-05-14 20:44:52,103692.3,103692.3,103692.31,0.62449,2.26922,2054161388.7021108,104976.25,102811.32,0.082,85.21,-0.00999999999476131,0.00082,-9.643917624318594e-06,bullish
2025-05-14 20:44:54,103692.3,103703.6,103703.61,8.03023,0.86734,2054081724.712636,104976.25,102811.32,0.098,101.5,-0.00999999999476131,0.00098,-9.643917624318594e-06,bullish
2025-05-14 20:44:56,103718.03,103718.02,103718.03,3.02401,1.93542,2054148212.5781279,104976.25,102811.32,0.123,127.23,-0.00999999999476131,0.00123,-9.641525195533804e-06,bullish
2025-05-14 20:44:58,103717.25,103701.5,103701.51,2.61312,3.95943,2054209853.1330626,104976.25,102811.32,0.122,126.45,-0.00999999999476131,0.00122,-9.64159770410545e-06,bullish
2025-05-14 20:45:00,103701.51,103718.02,103718.03,2.79212,0.00747,2054244838.5293808,104976.25,102811.32,0.107,110.71,-0.00999999999476131,0.00107,-9.643061122987804e-06,bullish
2025-05-14 20:45:02,103780.0,103779.99,103780.0,2.13983,1.76232,2054633304.3794134,104976.25,102811.32,0.183,189.2,-0.00999999999476131,0.00183,-9.635767965659386e-06,bullish
2025-05-14 20:45:04,103779.99,103785.18,103785.19,3.91107,0.23152,2054601291.272271,104976.25,102811.32,0.175,181.72,-0.010000000009313226,0.0017499999999999998,-9.635768908161608e-06,bullish
2025-05-14 20:45:06,103784.48,103780.74,103780.75,2.39064,0.01614,2054707677.4943078,104976.25,102811.32,0.18,186.52,-0.00999999999476131,0.0018,-9.635352024465808e-06,bullish
2025-05-14 20:45:08,103780.75,103780.74,103780.75,2.07149,4.48969,2054809829.4847736,104976.25,102811.32,0.185,191.93,-0.00999999999476131,0.00185,-9.635698330144377e-06,bullish
2025-05-14 20:45:10,103761.9,103759.03,103759.04,2.7721,2.8509,2055710401.3840535,104976.25,102811.32,0.2,206.7,-0.00999999999476131,0.002,-9.637448808051232e-06,bullish
2025-05-14 20:45:12,103759.03,103759.03,103759.04,2.2969,0.08405,2055716069.8807783,104976.25,102811.32,0.199,205.83,-0.00999999999476131,0.00199,-9.637715382228719e-06,bullish
2025-05-14 20:45:14,103769.34,103727.04,103727.05,2.22858,2.2375,2055724028.528748,104976.25,102811.32,0.209,216.14,-0.010000000009313226,0.00209,-9.636757841298043e-06,bullish
2025-05-14 20:45:16,103727.05,103727.04,103727.05,0.02966,3.57649,2055982764.0244899,104976.25,102811.32,0.168,173.84,-0.010000000009313226,0.00168,-9.640686792223653e-06,bullish
2025-05-14 20:45:18,103720.0,103714.28,103714.29,0.74257,3.42829,2055939498.6870272,104976.25,102811.32,0.188,194.51,-0.00999999999476131,0.00188,-9.641342069766015e-06,bullish
